Variable,N_invalid,Min_before,Max_before
"Electricity production from renewable sources, excluding hydroelectric (% of total)",123,-71.056856187291,97.2772277227723
Fossil fuel energy consumption (% of total),1,-2.14899995974588,99.920994716557
